ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
4691,717.0,0.16,80.71,0.7,0.0,0.0,751.0
4692,713.0,0.22,80.17,0.75,0.0,0.0,657.0
4693,537.0,0.12,60.39,0.69,0.0,0.0,785.0
4699,900.0,0.0,100.0,0.0,0.0,0.0,0.0
4700,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4701,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4702,884.0,0.0,100.0,0.0,0.0,0.0,0.0
4707,878.0,0.37,99.01,0.39,0.0,0.0,6.0
4708,361.0,0.37,40.0,0.0,0.0,0.0,800.0
4709,158.0,0.65,10.0,16.4,0.0,6.67,833.0
5000,144.0,28.04,3.57,0.0,0.0,0.0,328.0
5005,216.0,24.49,12.37,0.06,0.0,0.0,66.0
5006,215.0,18.6,15.06,0.0,0.0,0.0,70.0
5007,289.0,22.54,17.35,9.42,0.3,0.0,292.0
5008,269.0,28.56,14.92,3.15,0.1,0.0,84.0
5009,239.0,27.3,13.6,0.0,0.0,0.0,82.0
5014,177.0,27.29,6.71,0.0,0.0,0.0,70.0
5015,349.0,13.33,32.35,0.0,0.0,0.0,63.0
5016,394.0,10.32,28.83,23.15,0.0,0.0,581.0
5017,502.0,19.09,42.58,9.34,0.0,0.0,53.0
5022,157.0,27.15,4.5,0.0,0.0,0.0,67.0
5023,94.0,17.66,2.06,0.0,0.0,0.0,69.0
5024,154.0,30.39,2.68,0.0,0.0,0.0,56.0
5025,153.0,15.55,9.33,0.71,0.0,0.0,74.0
5030,277.0,23.55,15.44,9.5,0.0,0.0,287.0
5031,246.0,30.45,12.09,1.82,0.1,0.0,77.0
5032,222.0,29.02,10.85,0.0,0.0,0.0,75.0
5033,201.0,26.14,9.97,0.0,0.0,0.0,63.0
5034,237.0,16.69,18.34,0.0,0.0,0.0,73.0
5039,114.0,23.2,1.65,0.0,0.0,0.0,68.0
5040,192.0,32.82,5.54,0.42,0.0,0.0,81.0
5041,173.0,30.91,4.51,0.0,0.0,0.0,77.0
5042,159.0,28.88,3.99,0.0,0.0,0.0,65.0
5047,629.0,3.73,67.95,0.0,0.0,0.0,32.0
5048,319.0,14.05,28.74,0.0,0.0,0.0,64.0
5049,331.0,21.97,21.91,10.25,0.0,0.0,317.0
5050,331.0,27.79,20.74,6.5,0.0,0.0,90.0
5055,239.0,28.19,13.16,0.0,0.0,0.0,96.0
5056,209.0,25.31,11.19,0.0,0.0,0.0,67.0
5057,172.0,20.85,9.25,0.0,0.0,0.0,63.0
5058,260.0,24.84,13.2,8.99,0.3,0.0,275.0
5059,222.0,31.84,8.87,1.64,0.1,0.0,76.0
5064,165.0,31.02,3.57,0.0,0.0,0.0,74.0
