cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
662,other,"ORIGINAL ALMOND NOG, ORIGINAL",Plant Based Milk,"Eggnog Substitute, low fat","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Natural Flavor | Sea Salt | Locust Bean Gum,dairy | sweetener | flavor_enhan | mineral | thickener,,Y,,,,,Y,,,,,
662,other,"CHOCOLATE CREAMY CASHEWMILK WITH A TOUCH OF ALMOND, CHOCOLATE",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Cashewmilk | Cane Sugar | Cocoa | Sea Salt | Locust Bean Gum,dairy | sweetener | produce | mineral | thickener,Y,Y,,,,,Y,,,,,almond_milk > chocolate
662,other,"ORIGINAL ORGANIC ALMONDMILK, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Organic Almondmilk | Organic Cane Sugar | Vitamin & Mineral Blend | Sea Salt | Locust Bean Gum,dairy | sweetener | vitamin | mineral | thickener,,Y,,,,,Y,,,,,almond_milk > original
662,other,"ORIGINAL ORGANIC ALMONDMILK, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Organic Almondmilk | Organic Cane Sugar | Salt | Vitamin and Mineral Blend | Locust Bean Gum,dairy | sweetener | mineral | vitamin | thickener,,Y,,,,,Y,,,,,almond_milk > original
662,other,"UNSWEET ORIGINAL ALMONDMILK, UNSWEET ORIGINAL",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Locust Bean Gum | Gellan Gum,dairy | vitamin | mineral | thickener | thickener,,Y,,,,,Y,,,,,almond_milk > unsweetened
662,other,"ORIGINAL PEA, ALMOND AND CASHEWMILK, ORIGINAL",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Almondmilk | Cashewmilk | Pea Protein | High Oleic Sunflower Oil | Cane Sugar,dairy | dairy | protein | oil_fat | sweetener,,Y,,,,,Y,,,,,almond_milk > original
662,other,"UNSWEETENED ALMONDMILK, UNSWEETENED",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Shea Oil | Natural Flavor | Sunflower Lecithin,dairy | vitamin | oil_fat | flavor_enhan | emulsifier,,Y,,,,,Y,,,,,almond_milk > unsweetened
662,other,"UNSWEETENED ALMONDMILK, UNSWEETENED",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Locust Bean Gum | Gellan Gum,dairy | vitamin | mineral | thickener | thickener,,Y,,,,,Y,,,,,almond_milk > unsweetened
662,other,"CARAMEL FLAVORED ALMONDMILK & CASHEWMILK, CARAMEL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cashewmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt,dairy | dairy | sweetener | vitamin | mineral,,Y,,,,,Y,,,,,almond_milk > plain
662,other,"CARAMEL FLAVORED ALMONDMILK & CASHEWMILK, CARAMEL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cashewmilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt,dairy | dairy | sweetener | vitamin | mineral,,Y,,,,,Y,,,,,almond_milk > plain
