fdc_id,title,stripped_flavors,kept_flavors,ingredients_snippet
2586333,"PEELED APPLE ALICES, FRUIT CHEWS AND ANIMAL CRACKERS LUNCH K",apple,,"Apples (Apples Calcium Ascorbate [To Maintain Freshness and Color]), Fruit Snacks (Fruit Puree [Grape, Peach, Orange, St"
2670971,"MEDLEY, SWEET APPLE SLICES, ORIGINAL CRACKERS, MEDLEY, SWEET",apple,,"Sliced Apples (Apples Calcium Ascorbate (To Maintain Freshness and Color)), Cheez-It Original Snack Crackers (Enriched F"
2586266,"APPLE CINNAMON SESAME STICKS, APPLE CINNAMON","apple,cinnamon",sesame,"Soybean Oil, Enriched Wheat Flour (Unbleached Wheat Flour, Malted Barley Flour Niacin, Iron (Iron), Thiamine, Riboflavin"
2150373,"CINNAMON ESPRESSO WINE STICKS, CINNAMON ESPRESSO",cinnamon,"espresso,pecan","Sugar, Butter, Unbleached Unbromated Wheat Flour (Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Malted Barley Flour, "
2179752,"SWEET APPLE SLICES, TURKEY BITES, CRACKERS & CHEDDAR CHEESE ",apple,,"Apples (Apples, Calcium Ascorbate (Calcium and Vitamin C)), Turkey Sausage (Turkey, Mechanically Separated Turkey, Conta"
2476400,"APPLES & SUNFLOWER BUTTER WITH COOKED HARD EGG, CHEDDAR CHEE",apple,,"Apples (Apples, Calcium Ascorbate [To Maintain Freshness and Color]), Hard Boiled Egg, Creamy Sunbutter (Sunflower Seeds"
2485343,"APPLES, WHITE CHEDDAR & P.B. DOUBLE DIPPERS",apple,peanut_butter,"Apples (Apples, Water, Vitamin C [Vitamin C] Added to Maintain Color and Calcium Carbonate Added to Maintain Freshness),"
2441509,"HONEY STINGER, ENERGY CHEWS, LIME-ADE, LIME-ADE",lime,honey,"Organic Tapioca Syrup, Organic Evaporated Cane Juice, Organic Honey, (Organic Grape Juice Concentrate, Vitamin C), Pecti"
1898694,"CREAMY CANDY WITH WAFER, CHOCOLATE, VANILLA, STRAWBERRY",strawberry,"chocolate,vanilla","Creamy Candy: Sugar, Partially Hydrogenated Soybean Vegetable Oil, Nonfat Milk Solids, Nonfat Milk, Vegetable Fat, Malto"
2492636,Smart Choice WG Cornbread Bowls.CA,honey,,"Flour Blend (Whole Grain Wheat Flour, Enrichedflour [Wheat Flour, Niacin, Iron, Thiamine,Riboflavin, Folic Acid, Malted "
1918401,"APPLE WALNUT, TWICE BAKED CRISPS, CINNAMON, WALNUTS AND HONE",cinnamon,honey,"Buttermilk [Cultured Low Fat Milk, Condensed Skim Milk, Salt, Vitamin a and Vitamin D], Unbleached Flour [Wheat Flour, M"
2284533,"WHITE CHOCOLATE DIPPED MINI BISCOTTI, LEMON & CRANBERRY",lemon,cranberry,"Biscotti: Enriched Wheat Flour (Wheat Flour, Niacin [Vitamin B3], Iron, Thiamine [Vitamin B1], Riboflavin [Vitamin B2], "
