fndds_code,protein_g,fat_g,carbs_g,fiber_g,sugar_g,energy_kcal,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg,sat_fat_g,trans_fat_g,mufa_g,pufa_g,dha_g,epa_g,ala_g,linoleic_g,cholesterol_mg
58105105,5.59,9.01,31.5,5.8,1.3,229.0,10.0,0.077,0.03,0.867,0.0,0.172,4.0,0.28,0.1,0.7,0.36,7.4,51.0,1.46,54.0,144.0,305.0,305.0,0.94,0.141,0.0,7.0,2.19,0.0,2.95,2.88,0.001,0.003,0.33,2.52,29.0
58105110,11.51,10.43,23.02,2.6,1.45,232.0,10.0,0.083,0.087,2.373,0.0,0.23,4.0,0.28,0.1,0.7,0.35,1.1,49.0,1.01,38.0,162.0,255.0,426.0,1.62,0.065,0.0,17.8,3.166,0.0,3.964,2.205,0.003,0.004,0.09,1.986,29.0
58105120,8.55,9.72,27.26,4.2,1.38,230.0,10.0,0.08,0.058,1.62,0.0,0.201,4.0,0.28,0.1,0.7,0.36,4.2,50.0,1.24,46.0,153.0,280.0,366.0,1.28,0.103,0.0,12.4,2.678,0.0,3.457,2.542,0.002,0.004,0.21,2.253,29.0
58106200,11.91,11.07,28.8,3.0,3.71,263.0,72.0,0.103,0.127,1.283,0.0,0.13,87.0,0.62,0.1,0.0,0.74,4.2,228.0,2.14,24.0,215.0,201.0,471.0,1.49,0.091,0.0,21.4,5.698,0.0,3.028,1.695,0.0,0.003,0.11,1.547,21.0
58106205,10.36,12.28,29.02,2.2,3.57,268.0,66.0,0.211,0.258,2.196,0.0,0.083,38.0,0.78,1.2,0.0,1.01,6.6,179.0,2.27,23.0,179.0,152.0,447.0,1.32,0.227,0.0,21.5,4.272,0.0,4.246,1.903,0.0,0.0,0.167,1.68,14.0
58106210,11.39,9.69,33.33,2.3,3.58,266.0,69.0,0.39,0.195,3.825,0.0,0.08,93.0,0.42,1.4,0.0,0.83,6.7,188.0,2.48,24.0,216.0,172.0,540.0,1.34,0.105,0.0,19.9,4.465,0.0,2.608,1.681,0.0,0.004,0.177,1.463,17.0
58106215,11.39,9.69,33.33,2.3,3.58,266.0,69.0,0.39,0.195,3.825,0.0,0.08,93.0,0.42,1.4,0.0,0.83,6.7,188.0,2.48,24.0,216.0,172.0,540.0,1.34,0.105,0.0,19.9,4.465,0.0,2.608,1.681,0.0,0.004,0.177,1.463,17.0
58106220,11.39,9.69,33.33,2.3,3.58,266.0,69.0,0.39,0.195,3.825,0.0,0.08,93.0,0.42,1.4,0.0,0.83,6.7,188.0,2.48,24.0,216.0,172.0,540.0,1.34,0.105,0.0,19.9,4.465,0.0,2.608,1.681,0.0,0.004,0.177,1.463,17.0
58106225,11.39,9.69,33.33,2.3,3.58,266.0,69.0,0.39,0.195,3.825,0.0,0.08,93.0,0.42,1.4,0.0,0.83,6.7,188.0,2.48,24.0,216.0,172.0,540.0,1.34,0.105,0.0,19.9,4.465,0.0,2.608,1.681,0.0,0.004,0.177,1.463,17.0
58106230,10.81,10.54,33.17,2.2,3.34,271.0,69.0,0.365,0.2,3.495,0.0,0.06,106.0,0.35,1.2,0.0,0.82,10.0,179.0,2.48,23.0,209.0,169.0,540.0,1.27,0.104,0.0,18.1,4.226,0.0,2.595,2.752,0.0,0.004,0.309,2.403,17.0
58106233,12.23,11.63,30.0,1.7,2.9,274.0,117.0,0.323,0.333,3.763,0.0,0.119,90.0,0.4,3.1,0.0,0.67,8.3,238.0,2.04,22.0,249.0,229.0,615.0,1.49,0.081,0.0,16.0,5.825,0.0,2.771,1.547,0.0,0.003,0.155,1.348,30.0
58106234,13.67,8.59,29.7,3.4,6.07,250.0,52.0,0.263,0.263,3.119,0.0,0.134,71.0,1.8,0.2,0.0,0.74,5.0,206.0,2.58,46.0,300.0,326.0,421.0,1.9,0.136,0.0,26.3,4.179,0.0,2.124,0.92,0.0,0.002,0.072,0.748,16.0
58106235,12.72,7.91,31.31,4.0,7.12,247.0,66.0,0.284,0.347,2.996,0.0,0.163,54.0,1.49,0.0,0.0,0.75,4.2,218.0,2.53,51.0,316.0,348.0,421.0,1.97,0.098,0.0,22.7,4.0,0.0,1.837,0.745,0.0,0.002,0.067,0.662,12.0
58106236,14.62,9.27,28.08,2.9,5.02,254.0,38.0,0.242,0.179,3.242,0.0,0.104,88.0,2.1,0.4,0.0,0.72,5.8,193.0,2.63,40.0,284.0,303.0,421.0,1.83,0.174,0.0,29.9,4.358,0.0,2.411,1.095,0.0,0.002,0.077,0.835,19.0
58106250,12.08,10.29,31.71,2.2,3.48,268.0,77.0,0.369,0.204,3.616,0.0,0.079,89.0,0.45,1.3,0.0,0.81,6.4,216.0,2.35,24.0,234.0,169.0,549.0,1.47,0.101,0.0,20.3,4.87,0.0,2.722,1.629,0.0,0.004,0.171,1.422,20.0
58106260,11.41,11.0,31.83,2.1,3.27,272.0,75.0,0.349,0.207,3.336,0.0,0.06,102.0,0.38,1.1,0.0,0.81,9.6,203.0,2.37,23.0,224.0,167.0,547.0,1.38,0.101,0.0,18.5,4.576,0.0,2.691,2.658,0.0,0.004,0.298,2.325,19.0
58106300,9.24,10.81,26.51,2.1,3.62,240.0,59.0,0.191,0.23,1.966,0.0,0.094,35.0,0.68,5.1,0.0,0.92,6.4,159.0,2.04,21.0,160.0,154.0,393.0,1.18,0.207,0.0,18.9,3.756,0.0,3.732,1.682,0.0,0.0,0.148,1.486,12.0
58106305,9.76,11.49,27.67,2.1,3.6,253.0,62.0,0.2,0.243,2.072,0.0,0.089,36.0,0.73,3.3,0.0,0.96,6.5,168.0,2.14,22.0,169.0,153.0,418.0,1.24,0.216,0.0,20.1,3.994,0.0,3.969,1.784,0.0,0.0,0.157,1.575,13.0
